"Sujeto (Nominativo)","Base","Trad. Base","Männlich (M) - Determiner","Männlich (M) - Ejemplos con Verbos","Trad. (M)","Weiblich (F) - Determiner","Weiblich (F) - Ejemplos con Verbos","Trad. (F)","Neutral (N) - Determiner","Neutral (N) - Ejemplos con Verbos","Trad. (N)","Plural (P) - Determiner","Plural (P) - Ejemplos con Verbos","Trad. (P)"
"Art. Def.","der / die / das","el / la / el","der","Der Mann ist freundlich.","El hombre es amigable.","die","Die Frau ist Ärztin.","La mujer es doctora.","das","Das Kind schläft.","El niño duerme.","die","Die Hunde bellen.","Los perros ladran."
"Art. Indef.","ein / eine / ein","un / una / un","ein","Ein Vogel singt laut.","Un pájaro canta fuerte.","eine","Eine Blume blüht.","Una flor florece.","ein","Ein Buch liegt da.","Un libro yace allí.","-","-","(No existe art. indefinido)"
"Art. Neg.","kein / keine / kein","ningún / ninguna / ningún","kein","Kein Wein ist auf dem Tisch.","No hay vino en la mesa.","keine","Keine Milch ist im Kühlschrank.","No hay leche en la nevera.","kein","Kein Auto steht draußen.","No hay ningún coche fuera.","keine","Keine Kinder spielen hier.","Ningún niño juega aquí."
"ich","mein-","mi-","mein","Mein Hund ist süß.","Mi perro es lindo.","meine","Meine Lampe brennt.","Mi lámpara está encendida.","mein","Mein Haus ist groß.","Mi casa es grande.","meine","Meine Katzen schlafen.","Mis gatos duermen."
"du","dein-","tu-","dein","Dein Tisch ist leer.","Tu mesa está vacía.","deine","Deine Uhr ist kaputt.","Tu reloj está roto.","dein","Dein Glas ist voll.","Tu vaso está lleno.","deine","Deine Bücher sind neu.","Tus libros son nuevos."
"er","sein-","su (de él)-","sein","Sein Name ist Tom.","Su nombre es Tom.","seine","Seine Frau arbeitet hier.","Su esposa trabaja aquí.","sein","Sein Buch ist interessant.","Su libro es interesante.","seine","Seine Eltern sind nett.","Sus padres son amables."
"sie (ella)","ihr-","su (de ella)-","ihr","Ihr Mann ist Ingenieur.","Su marido es ingeniero.","ihre","Ihre Katze ist schwarz.","Su gata es negra.","ihr","Ihr Kind spielt draußen.","Su hijo juega fuera.","ihre","Ihre Taschen sind schwer.","Sus bolsos son pesados."
"es (neutro)","sein-","su (de ello)-","sein","Sein Auto fährt schnell.","Su coche corre rápido.","seine","Seine Farbe ist schön.","Su color es bonito.","sein","Sein Buch ist dick.","Su libro es gordo.","seine","Seine Blätter fallen.","Sus hojas caen."
"wir","unser-","nuestro/a-","unser","Unser Lehrer ist streng.","Nuestro profesor es estricto.","unsere","Unsere Ciudad ist schön.","Nuestra ciudad es hermosa.","unser","Unser Haus ist alt.","Nuestra casa es vieja.","unsere","Unsere Kinder sind laut.","Nuestros hijos son ruidosos."
"ihr (vosotros)","euer- / eur-","vuestro/a-","euer","Euer Garten ist grün.","Vuestro jardín es verde.","eure","Eure Wohnung ist klein.","Vuestro apartamento es pequeño.","euer","Euer Auto ist rot.","Vuestro coche es rojo.","eure","Eure Kleider sind schön.","Vuestra ropa es bonita."
"sie (ellos)","ihr-","su (de ellos)-","ihr","Ihr Baum ist hoch.","Su árbol es alto.","ihre","Ihre Idee ist gut.","Su idea es buena.","ihr","Ihr Geld ist weg.","Su dinero se ha ido.","ihre","Ihre Kinder spielen.","Sus hijos juegan."
"Sie (formal)","Ihr-","su (formal)-","Ihr","Ihr Kaffee ist fertig.","Su café está listo.","Ihre","Ihre Rechnung ist korrekt.","Su factura es correcta.","Ihr","Ihr Gepäck ist angekommen.","Su equipaje ha llegado.","Ihre","Ihre Kollegen sind hier.","Sus colegas están aquí."
