Sujeto (Nominativo),Pronombre (Akkusativ),Trad. Pronombre,Ejemplo Pronombre (Akkusativ),Trad. Ejemplo,Base,Trad. Base,den  männlich  (akkusativ),Männlich (M) - Ejemplos con Verbos,Trad. (M),die  weiblich  (akkusativ),Weiblich (F) - Ejemplos con Verbos,Trad. (F),das  neutral  (akkusativ),Neutral (N) - Ejemplos con Verbos,Trad. (N),die  plural  (akkusativ),Plural (P) - Ejemplos con Verbos,Trad. (P)
Art. Def.,-,-,-,-,der / die / das (Nominativ),el / la / el (Nominativ),den,Ich sehe den Hund.,Veo el perro.,die,Ich brauche die Lampe.,Necesito la lámpara.,das,Ich trinke das Wasser.,Bebo el agua.,die,Ich nehme die Äpfel.,Tomo las manzanas.
Art. Indef.,-,-,-,-,ein / eine / ein (Nominativ),un / una / un (Nominativ),einen,Du kaufst einen Wagen.,Compras un coche.,eine,Du isst eine Suppe.,Comes una sopa.,ein,Du kaufst ein Auto.,Compras un coche.,-,-,(No existe art. indefinido)
Art. Neg.,-,-,-,-,kein / keine / kein (Nominativ),ningún / ninguna / ningún (Nominativ),keinen,Er nimmt keinen Stuhl.,Él no toma ninguna silla.,keine,Sie liebt keine Banane.,Ella no ama ninguna banana.,kein,Er nimmt kein Buch.,Él no toma ningún libro.,keine,Wir brauchen keine Schlüssel.,No necesitamos ninguna llave.
Sin Artículo,-,-,-,-,-,-,-,Ich trinke Kaffee.,Bebo café.,-,Wir kaufen Milch.,Compramos leche.,-,Ich höre Radio.,Escucho radio.,-,Wir essen Fische.,Comemos pescado/peces.
:---,:---,:---,:---,:---,:---,:---,:---,:---,:---,:---,:---,:---,:---,:---,:---,:---,:---,:---
ich,mich,me,Du siehst mich.,Tú me ves.,mein-,mi-,meinen,Ich sehe meinen Hund.,Veo a mi perro.,meine,Ich brauche meine Lampe.,Necesito mi lámpara.,mein,Ich habe mein Brot.,Yo tengo mi pan.,meine,Ich nehme meine Äpfel.,Tomo mis manzanas.
du,dich,te,Ich sehe dich.,Yo te veo.,dein-,tu-,deinen,Du kaufst deinen Wagen.,Compras tu coche.,deine,Du isst deine Suppe.,Comes tu sopa.,dein,Du trinkst dein Wasser.,Tú bebes tu agua.,deine,Du hast deine Bücher.,Tienes tus libros.
er,ihn,lo,Ich liebe ihn.,Yo lo amo.,sein-,su (de él)-,seinen,Er nimmt seinen Stuhl.,Él toma su silla.,seine,Er mag seine Lehrerin.,A él le gusta su profesora.,sein,Er mag sein Kind.,A él le gusta su niño/a.,seine,Er sieht seine Freunde.,Él ve a sus amigos.
sie (ella),sie,la,Er liebt sie.,Él la ama.,ihr-,su (de ella)-,ihren,Sie liebt ihren Mann.,Ella ama a su marido.,ihre,Sie kennt ihre Stadt.,Ella conoce su ciudad.,ihr,Sie sieht ihr Haus.,Ella ve su casa.,ihre,Sie kauft ihre Schuhe.,Ella compra sus zapatos.
es,es,lo/la (neutro),Wir haben es.,Nosotros lo tenemos.,sein-,su (de ello)-,seinen,Es findet seinen Ball.,Ello encuentra su pelota.,seine,Es schreibt seine Antwort.,Eso escribe su respuesta.,sein,Es findet sein Buch.,Ello/Eso encuentra su libro.,seine,Es fragt seine Eltern.,Eso pregunta a sus padres.
wir,uns,nos,Er kennt uns.,Él nos conoce.,unser-,nuestro/a-,unseren,Wir brauchen unseren Schlüssel.,Necesitamos nuestra llave.,unsere,Wir besuchen unsere Tante.,Visitamos a nuestra tía.,unser,Wir kaufen unser Haus.,Compramos nuestra casa.,unsere,Wir hören unsere Lieder.,Escuchamos nuestras canciones.
ihr (vosotros),euch,os,Ich suche euch.,Yo os busco.,euer- / eur-,vuestro/a-,euren,Ihr esst euren Käse.,Coméis vuestro queso.,eure,Ihr sucht eure Tasche.,Buscáis vuestra bolsa.,euer,Ihr esst euer Brot.,Coméis vuestro pan.,eure,Ihr liebt eure Kinder.,Amáis a vuestros hijos.
sie (ellos),sie,los/las,Ich sehe sie.,Yo los/las veo.,ihr-,su (de ellos)-,ihren,Sie trinken ihren Tee.,Ellos beben su té.,ihre,Sie machen ihre Arbeit.,Ellos hacen su trabajo.,ihr,Sie brauchen ihr Auto.,Ellos necesitan su coche.,ihre,Sie kennen ihre Leute.,Conocen a su gente.
Sie (formal),Sie,lo/la (formal),Ich kenne Sie.,Yo lo/la conozco (formal).,Ihr-,su (de Ud.)-,Ihren,Sie haben Ihren Hut.,Ud. tiene su sombrero.,Ihre,Sie brauchen Ihre Brille.,Ud. necesita sus gafas.,Ihr,Sie sehen Ihr Kind.,Ud. ve a su niño/a.,Ihre,Sie kaufen Ihre Blumen.,Ud. compra sus flores.
