noun	example_count	first_question_numbers
16 Bundesländer	1	24
3. Oktober	1	190
9. November	2	161, 182
Abgeordnete	4	43, 56, 95, 125
Adler	1	28
Anzeige	1	285
Asyl	1	9
Aufenthaltserlaubnis	0	
Ausländerbehörde	0	
Auswanderung	0	
Auswärtige Amt	1	56
Begriff	2	13, 227
Behörde	4	22, 251, 271, 278
Berliner Mauer	5	151, 188, 189, 191, 193
Bevölkerung	2	175, 221
Brandenburger Tor	0	
BRD	0	
Bund	1	63
Bundes-	0	
Bundeskabinett	2	64, 80
Bundeskanzler	14	56, 64, 68, 69, 70, 79, 80, 81
Bundesland	54	22, 24, 38, 89, 188, 191, 193, 194
Bundespräsidentin / Bundespräsident	13	43, 47, 57, 68, 69, 80, 82, 84
Bundesrat	10	12, 47, 59, 79, 83, 84, 86, 88
Bundesratspräsidentin / Bundesratspräsident	3	57, 80, 85
Bundesregierung	12	15, 57, 64, 68, 69, 81, 83, 88
Bundesrepublik	32	11, 17, 20, 23, 24, 28, 37, 63
Bundesstaat	4	25, 26, 37, 208
Bundestag	22	12, 27, 51, 54, 59, 69, 71, 72
Bundestagspräsidentin / Bundestagspräsident	3	57, 80, 85
Bundesverfassungsgericht	5	51, 54, 60, 78, 84
Bundesversammlung	6	72, 79, 81, 84, 88, 123
Bär	1	28
Bürger	12	16, 40, 43, 50, 52, 105, 122, 123
Bürgermeister / Bürgermeisterin	18	128, 189, 304, 314, 324, 334, 344, 354
DDR	26	148, 163, 169, 171, 182, 183, 185, 186
Demokratie	7	29, 33, 40, 122, 155, 158, 192
Demonstration	1	239
Diktatur	6	19, 21, 26, 154, 155, 192
Diskriminierung	3	272, 273, 284
Dritte Reich	1	155
Ehrenamt	1	277
Einwanderung	0	
Einwohner / Einwohnerin	4	3, 16, 45, 209
Erststimme	0	
Erwerbstätige	0	
Euro	3	217, 220, 236
Europäische Union	1	220
Exekutive	5	53, 59, 62, 140, 142
Finanzamt	4	55, 62, 131, 278
Flüchtling / Flüchtlinge	0	
Folter	1	10
Fraktion	5	13, 30, 56, 87, 95
Freiheit	1	39
Freiheitsstrafe	1	94
Freizügigkeit	2	18, 276
Gefängnis	1	5
Geldstrafe	2	10, 94
gelten	0	
Gemeinde	20	58, 123, 128, 131, 301, 311, 321, 331
Gemeindeverwaltung	1	55
genannt	3	11, 36, 224
Gericht	6	78, 134, 136, 138, 139, 143
Gesetz	5	6, 8, 41, 243, 257
Gesetzgebung	2	31, 88
Gewalt	3	31, 53, 141
Gewaltenteilung	0	
Gewissensfreiheit	1	7
gilt	4	1, 9, 93, 249
Glaubensfreiheit	0	
Gleichberechtigung	0	
Gleichheit	0	
Grundgesetz	7	6, 8, 10, 11, 14, 66, 283
Grundrecht	3	9, 12, 17
Grundrechte	0	
Haftpflichtversicherung	1	35
Holocaust	2	94, 146
Integration	1	227
Judikative	4	53, 59, 140, 142
jüdische Gemeinde	1	58
Kanzler	3	68, 125, 211
Koalition	2	30, 91
Kommune	0	
Krankenversicherung	3	35, 254, 280
Legislative	4	53, 59, 140, 142
Länder	7	63, 86, 121, 164, 217, 228, 231
Maßnahme	1	35
Mehrheit	2	89, 95
Meinungsfreiheit	11	1, 4, 9, 14, 15, 16, 17, 29
Mensch	1	8
Menschenrechte	0	
Menschenwürde	3	9, 17, 167
Minderheit	0	
Ministerin / Minister	30	36, 57, 68, 83, 304, 305, 314, 315
Ministerpräsidentin / Ministerpräsident	19	36, 56, 126, 304, 314, 324, 334, 344
Nachteil	0	
Nationalhymne	1	39
Nationalsozialismus	4	156, 167, 202, 216
Opposition	3	13, 86, 87
Ordnungsamt	20	55, 248, 250, 260, 301, 311, 321, 331
Parlament	11	13, 41, 56, 61, 72, 87, 91, 120
